City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,11.98,32,25,7.6,CA,1684631227
1,waingapu,-9.6567,120.2641,27.01,64,30,7.22,ID,1684631337
2,margaret river,-33.95,115.0667,14.01,66,99,4.93,AU,1684631338
3,saipan,15.1355,145.701,32.39,100,0,4.92,MP,1684631114
4,tura,25.5198,90.2201,24.98,77,1,2.9,IN,1684631338
5,hermanus,-34.4187,19.2345,17.67,80,100,7.9,ZA,1684631338
6,badger,64.8,-147.5333,23.14,29,40,5.66,US,1684631338
7,port-aux-francais,-49.35,70.2167,4.5,61,86,7.75,TF,1684631338
8,puerto ayora,-0.7393,-90.3518,25.86,91,99,4.47,EC,1684631338
9,tsiombe,-25.3,45.4833,18.67,89,0,2.74,MG,1684631338
10,planeta rica,8.4147,-75.5883,25.15,93,100,4.34,CO,1684631338
11,kingsbridge,50.2845,-3.7764,12.56,92,4,4.6,GB,1684631338
12,grytviken,-54.2811,-36.5092,1.42,93,92,5.18,GS,1684631338
13,hinton,53.4001,-117.5857,25.11,24,100,3.47,CA,1684631199
14,bethel,41.3712,-73.414,18.84,90,100,0.89,US,1684631062
15,christiana,-27.914,25.1611,8.48,35,0,2.06,ZA,1684631338
16,tataouine,32.9297,10.4518,18.75,52,0,3.4,TN,1684631338
17,hilo,19.7297,-155.09,26.82,87,75,6.69,US,1684631338
18,kodiak,57.79,-152.4072,6.73,87,100,10.29,US,1684631339
19,bikenibeu village,1.3673,173.1241,31.98,66,40,3.09,KI,1684631339
20,bredasdorp,-34.5322,20.0403,16.63,67,100,7.74,ZA,1684631339
21,new norfolk,-42.7826,147.0587,9.72,63,21,1.34,AU,1684631339
22,katsuura,35.1333,140.3,20.93,79,21,2.77,JP,1684631339
23,hithadhoo,-0.6,73.0833,28.69,72,1,3.9,MV,1684631339
24,barra de santo antonio,-9.4047,-35.5072,23.6,85,67,5.09,BR,1684631339
25,adamstown,-25.066,-130.1015,24.53,83,100,7.61,PN,1684631339
26,nadi,-17.8,177.4167,30.0,66,40,2.06,FJ,1684631339
27,tiksi,71.6872,128.8694,-8.2,84,100,2.23,RU,1684631339
28,isla vista,34.4133,-119.861,24.64,77,0,3.09,US,1684631207
29,keflavik,64.0049,-22.5624,5.24,87,75,13.89,IS,1684631255
30,ushuaia,-54.8,-68.3,3.81,70,0,1.03,AR,1684631300
31,yuzhno-kurilsk,44.0306,145.8556,5.32,93,100,5.15,RU,1684631339
32,akureyri,65.6835,-18.0878,4.29,66,35,9.25,IS,1684631340
33,west island,-12.1568,96.8225,26.99,83,40,3.6,CC,1684631340
34,alamosa,37.4695,-105.87,13.99,62,75,4.63,US,1684631340
35,utrik,11.2278,169.8474,27.97,80,100,6.0,MH,1684631340
36,bilibino,68.0546,166.4372,9.45,68,20,2.84,RU,1684631340
37,blackmans bay,-43.0167,147.3167,9.07,77,61,7.87,AU,1684631340
38,edinburgh of the seven seas,-37.0676,-12.3116,17.46,94,100,5.66,SH,1684631341
39,calabozo,8.9242,-67.4293,28.44,66,100,1.26,VE,1684631341
40,ust'-ilimsk,58.0006,102.6619,15.05,44,32,2.55,RU,1684631341
41,waitangi,-43.9535,-176.5597,16.01,94,100,1.79,NZ,1684631341
42,puerto natales,-51.7236,-72.4875,0.16,92,49,1.52,CL,1684631341
43,dubno,50.4169,25.7343,9.84,85,31,3.79,UA,1684631341
44,hasaki,35.7333,140.8333,24.56,78,51,2.46,JP,1684631342
45,at-bashi,41.1702,75.8106,8.98,63,5,0.21,KG,1684631342
46,ijui,-28.3878,-53.9147,17.8,67,100,2.09,BR,1684631067
47,ndjole,-0.1783,10.7649,24.57,98,100,0.85,GA,1684631342
48,esil,51.9556,66.4042,13.11,48,97,5.53,KZ,1684631343
49,kununurra,-15.7667,128.7333,20.99,28,79,6.69,AU,1684631343
50,fale old settlement,-9.3852,-171.2468,28.55,77,100,6.01,TK,1684631343
51,bafoulabe,13.8065,-10.8321,34.35,37,88,0.85,ML,1684631343
52,nadym,65.5333,72.5167,2.45,79,45,2.12,RU,1684631343
53,wailua homesteads,22.0669,-159.378,27.24,79,40,4.12,US,1684631344
54,nha trang,12.25,109.1833,30.0,65,100,1.07,VN,1684631165
55,prades,42.5833,2.1667,3.52,80,100,1.34,FR,1684631344
56,jambi city,-1.6,103.6167,25.56,90,100,1.6,ID,1684631344
57,saint-pierre,-21.3393,55.4781,22.82,68,0,2.57,RE,1684631344
58,nar'yan-mar,67.6713,53.087,5.98,72,100,4.06,RU,1684631344
59,port elizabeth,-33.918,25.5701,15.73,75,0,1.54,ZA,1684631344
60,nemuro,43.3236,145.575,5.48,95,100,5.06,JP,1684631344
61,albany,42.6001,-73.9662,17.36,93,100,0.45,US,1684631344
62,mangrol,21.1167,70.1167,27.53,80,0,4.52,IN,1684631344
63,cauquenes,-35.9671,-72.3225,8.51,67,100,2.16,CL,1684631344
64,st. john's,47.5649,-52.7093,9.6,87,100,2.24,CA,1684631344
65,toliara,-23.35,43.6667,22.97,78,53,2.85,MG,1684631345
